Gene stable ID	Gene Name	ZFIN ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSDARG00000036809	ANPEP	ZDB-GENE-130530-595	si:ch211-106j24.1	555478	protein_coding
ENSDARG00000079947	gfi1b	ZDB-GENE-091118-129	gfi1b	100151531	protein_coding
ENSDARG00000097712	CR848667.1		si:ch1073-443n13.2	100535735	lncRNA
ENSDARG00000021794	hmmr	ZDB-GENE-030131-731	hmmr	322012	protein_coding
ENSDARG00000015126	gorasp2	ZDB-GENE-040426-1659	gorasp2	393676	protein_coding
ENSDARG00000039217	orc1	ZDB-GENE-030131-6960	orc1	554509	protein_coding
ENSDARG00000060430	zfyve28	ZDB-GENE-061103-208	zfyve28	777615	protein_coding
ENSDARG00000102617	timp4.2	ZDB-GENE-160114-61	timp4.2	108004535	protein_coding
ENSDARG00000086740	phyh	ZDB-GENE-050417-361	phyh	550521	protein_coding
ENSDARG00000097864	CR847983.2				lncRNA
ENSDARG00000013505	ube2kb	ZDB-GENE-980605-9	ube2kb	30100	protein_coding
ENSDARG00000075956	faxca	ZDB-GENE-100422-7	faxca	797483	protein_coding
ENSDARG00000039422	fuom	ZDB-GENE-030616-618	fuom	447896	protein_coding
ENSDARG00000004932	anos1b	ZDB-GENE-000201-13	anos1b	30652	protein_coding
ENSDARG00000013095	gclc	ZDB-GENE-030131-5056	gclc	326857	protein_coding
ENSDARG00000101054	syn2b	ZDB-GENE-051127-49	syn2b	641578	protein_coding
ENSDARG00000086805	itprid1	ZDB-GENE-091204-197	itprid1	100334805	protein_coding
ENSDARG00000057598	s100b	ZDB-GENE-040718-290	s100b	436825	protein_coding
ENSDARG00000031683	fosab	ZDB-GENE-031222-4	fosab	394198	protein_coding
ENSDARG00000009607	ccnc	ZDB-GENE-030131-7369	ccnc	335429	protein_coding
ENSDARG00000070426	chac1	ZDB-GENE-030131-1957	chac1	563855	protein_coding
ENSDARG00000111230	pimr152	ZDB-GENE-081028-8	LOC798566	798566	protein_coding
ENSDARG00000075805	si:dkey-219c3.2	ZDB-GENE-090313-238	si:dkey-219c3.2	564106	protein_coding
ENSDARG00000091957	si:dkey-172o10.8	ZDB-GENE-070705-313			protein_coding
ENSDARG00000093943	BX294181.2				lncRNA
ENSDARG00000051955	brms1	ZDB-GENE-030616-596	brms1	791681	protein_coding
ENSDARG00000054010	scaf1	ZDB-GENE-120215-214	scaf1	553490	protein_coding
ENSDARG00000070607	mrpl36	ZDB-GENE-060503-821	mrpl36	100093703	protein_coding
ENSDARG00000026820	gucy2d	ZDB-GENE-011128-9	gucy2d	140426	protein_coding
ENSDARG00000062797	nell2b	ZDB-GENE-030131-8026	nell2b	336082	protein_coding
ENSDARG00000039423	AL831745.1		si:ch211-217g15.3	368914	lncRNA
ENSDARG00000091519	BX511084.1				pseudogene
ENSDARG00000015290	sacm1la	ZDB-GENE-060503-122	sacm1la	558940	protein_coding
ENSDARG00000007371	slc26a3.1	ZDB-GENE-041210-180	slc26a3.1	563962	protein_coding
ENSDARG00000098089	CU929178.1				pseudogene
ENSDARG00000007693	nfkbiab	ZDB-GENE-030131-1819	nfkbiab	323099	protein_coding
ENSDARG00000075567	fbxl20	ZDB-GENE-081031-27	fbxl20	100331130	protein_coding
ENSDARG00000078216	eps15	ZDB-GENE-081104-264	eps15	795505	protein_coding
ENSDARG00000040008	neurod6a	ZDB-GENE-010608-1	neurod6a	114414	protein_coding
ENSDARG00000031483	col9a1b	ZDB-GENE-040426-2410	col9a1b	406548	protein_coding
ENSDARG00000070494	pdgfra	ZDB-GENE-990415-208	pdgfra	386856	protein_coding
ENSDARG00000095920	AL929171.1				lncRNA
ENSDARG00000096833	CR391963.1				lncRNA
ENSDARG00000041376	rmi1	ZDB-GENE-040426-829	rmi1	393149	protein_coding
ENSDARG00000017988	dse	ZDB-GENE-041001-202	dse	568713	protein_coding
ENSDARG00000006568	kcnmb2	ZDB-GENE-050320-97	kcnmb2	541398	protein_coding
ENSDARG00000102477	stard4	ZDB-GENE-050417-168	stard4	550374	protein_coding
ENSDARG00000059944	c1qtnf2	ZDB-GENE-030131-5133	c1qtnf2	572041	protein_coding
ENSDARG00000063026	mlc1	ZDB-GENE-050419-145	mlc1	559990	protein_coding
ENSDARG00000094488	BX510923.1				lncRNA
ENSDARG00000101040	ccl20a.3	ZDB-GENE-081022-193	ccl20a.3	100192217	protein_coding
ENSDARG00000095033	FP067425.1				lncRNA
ENSDARG00000027397	vangl2	ZDB-GENE-020507-3	vangl2	245949	protein_coding
ENSDARG00000057006	fam241a	ZDB-GENE-050522-524	fam241a	553813	protein_coding
ENSDARG00000038360	thg1l	ZDB-GENE-041114-170	thg1l	492814	protein_coding
ENSDARG00000061268	ago2	ZDB-GENE-110606-6	ago2	570630	protein_coding
ENSDARG00000020217	cpsf4	ZDB-GENE-990415-180	cpsf4	30203	protein_coding
ENSDARG00000018069	rdh12	ZDB-GENE-040718-9	rdh12	436597	protein_coding
ENSDARG00000003216	anxa2a	ZDB-GENE-030131-4282	anxa2a	325557	protein_coding
ENSDARG00000086739	si:ch1073-513e17.1	ZDB-GENE-030131-7188	si:ch1073-513e17.1	571066	protein_coding
ENSDARG00000021408	poglut3	ZDB-GENE-060810-142	poglut3	566063	protein_coding
ENSDARG00000086511	ptprjb.2	ZDB-GENE-131120-137	ptprjb.2	558077	protein_coding
ENSDARG00000102977	cant1b	ZDB-GENE-040801-114	cant1b	445201	protein_coding
ENSDARG00000093374	EPB41L2	ZDB-GENE-070912-332			protein_coding
ENSDARG00000063030	mesd	ZDB-GENE-070112-2142	mesd	791222	protein_coding
ENSDARG00000030161	ppp1r14bb	ZDB-GENE-030616-595	ppp1r14bb	100000577	protein_coding
ENSDARG00000029596	trim55a	ZDB-GENE-040718-50	trim55a	436631	protein_coding
ENSDARG00000045518	tmem110l	ZDB-GENE-040426-912	tmem110l	393166	protein_coding
ENSDARG00000000103	myh10	ZDB-GENE-030616-162	myh10	555454	protein_coding
ENSDARG00000040621	lrrc32	ZDB-GENE-090630-1	lrrc32	100148867	protein_coding
ENSDARG00000070885	AL953867.1				lncRNA
