Gene stable ID	Gene Name	GenBank ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
FBgn0031918	CG6055	BT001650	34027	34027	protein_coding
FBgn0053837	His1:CG33837		3772409	3772409	protein_coding
FBgn0032625	CG15136		35033	35033	protein_coding
FBgn0015872	Drip	CZ470398	36236	36236	protein_coding
FBgn0050272	MFS1		246519	246519	protein_coding
FBgn0040396	CG3939	AY113558	31295	31295	protein_coding
FBgn0026380	Prosbeta3	AA950208	41079	41079	protein_coding
FBgn0037483	CG14609	AY089467	40864	40864	protein_coding
FBgn0034430	mip40	AY069362	37215	37215	protein_coding
FBgn0004898	fd96Cb	M96444	43011	43011	protein_coding
FBgn0053873	His4:CG33873		41773	41773	protein_coding
FBgn0034361	mRpS28	AY094907	37136	37136	protein_coding
FBgn0038114	CG11670	CZ481149	41608	41608	protein_coding
FBgn0038787	CG4360	BI352359	42413	42413	protein_coding
FBgn0259986	nab	AB082911	3346237	3346237	protein_coding
FBgn0038159	CG14369		41660	41660	protein_coding
FBgn0026175	SkpC	AF220068	32996	32996	protein_coding
FBgn0038708	Scsalpha2	AI387717	42326	42326	protein_coding
FBgn0052685	ZAP3	AW942198	31942	31942	protein_coding
FBgn0038281	RpL10Aa	AY113239	41811	41811	protein_coding
FBgn0266995	lncRNA:CR45446		19836109	19836109	lncRNA
FBgn0027597	CG17712	AI401909	33356	33356	protein_coding
FBgn0052647	CG32647	AJ569885	326226	326226	protein_coding
FBgn0261284	bou	AY071242	31644	31644	protein_coding
FBgn0005779	PpD6	S39995	49780	49780	protein_coding
FBgn0263653	lncRNA:CR43644		14462522	14462522	lncRNA
FBgn0266177	pre-mod(mdg4)-I		19834930	19834930	protein_coding
FBgn0036927	Gabat	AY113591	40188	40188	protein_coding
FBgn0267001	Ten-a	AJ569821	32183	32183	protein_coding
FBgn0031332	CG5556	BF505948	33320	33320	protein_coding
FBgn0261293	CheB53b		3346204	3346204	protein_coding
FBgn0265874	lncRNA:CR44663		19836103	19836103	lncRNA
FBgn0086532	Spt-I	AB082610	36448	36448	protein_coding
FBgn0051457	CG31457	AA391502	326142	326142	protein_coding
FBgn0037619	CG8159	AW944424	41040	41040	protein_coding
FBgn0260748	CG5004	CZ484837	32698	32698	protein_coding
FBgn0035859	CG13678	AY071202	38922	38922	protein_coding
FBgn0039117	tst	AI109814	42813	42813	protein_coding
