Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
AT3G51610	NPU	NPU	824324	protein_coding
AT2G25440	RLP20	RLP20	817082	protein_coding
AT5G25060	RRC1	RRC1	832577	protein_coding
AT1G31250	AT1G31250	AT1G31250	840013	protein_coding
AT5G44563	AT5G44563	AT5G44563	28721247	protein_coding
AT2G26600	AT2G26600	AT2G26600	817201	protein_coding
AT4G28000	AT4G28000	AT4G28000	828913	protein_coding
AT3G46940	DUT1	DUT1	823847	protein_coding
AT4G15670	AT4G15670	AT4G15670	827244	protein_coding
AT1G49715	AT1G49715	AT1G49715	3767420	protein_coding
AT3G56850	AREB3	AREB3	824852	protein_coding
AT1G07970	AT1G07970	AT1G07970	837312	protein_coding
AT2G17950	WUS	WUS	816305	protein_coding
AT2G14800	AT2G14800	AT2G14800	815968	protein_coding
AT1G32763	AT1G32763	AT1G32763	3766883	protein_coding
AT5G25757	AT5G25757	AT5G25757	832644	protein_coding
AT3G60780	AT3G60780	AT3G60780	825249	protein_coding
AT5G17880	CSA1	CSA1	831656	protein_coding
AT2G02350	SKIP3	SKIP3	814766	protein_coding
AT5G02180	AT5G02180	AT5G02180	831862	protein_coding
